"date","minutes_url","jornada_number","visitor_team_name","visitor_team_id","season","time","categoria_id","local_points","visitor_points","local_team_id","local_team_name"
"20/11/2016","liga_eacta.php?IDENCUENTRO=131701065&EL=CLUB DEL MAR PROMESAS&EV=ARENAL CTM MILAGROSA&IDJORNADA=100&IDNIVEL=17#acta","6","ARENAL CTM MILAGROSA","16008","2016-2017","11:00","17","4","3","1007","CLUB DEL MAR PROMESAS"
"20/11/2016","liga_eacta.php?IDENCUENTRO=131701066&EL=MONTE PORREIRO PUB PATRIMONIO&EV=HELIOS BEMBRIVE, T.M.&IDJORNADA=100&IDNIVEL=17#acta","6","HELIOS BEMBRIVE, T.M.","832","2016-2017","11:00","17","2","4","16009","MONTE PORREIRO PUB PATRIMONIO"
"26/11/2016","liga_eacta.php?IDENCUENTRO=131701071&EL=ARENAL CTM MILAGROSA&EV=ARTEAL&IDJORNADA=100&IDNIVEL=17#acta","7","ARTEAL","1274","2016-2017","17:00","17","4","3","16008","ARENAL CTM MILAGROSA"
"26/11/2016","liga_eacta.php?IDENCUENTRO=131701072&EL=HELIOS BEMBRIVE, T.M.&EV=CD DEZ PORTAS LUGAUTO&IDJORNADA=100&IDNIVEL=17#acta","7","CD DEZ PORTAS LUGAUTO","16104","2016-2017","17:00","17","6","0","832","HELIOS BEMBRIVE, T.M."
"26/11/2016","liga_eacta.php?IDENCUENTRO=131701073&EL=NARONENSE&EV=LICEO DE NOIA&IDJORNADA=100&IDNIVEL=17#acta","7","LICEO DE NOIA","16010","2016-2017","18:00","17","0","6","10490","NARONENSE"
"27/11/2016","liga_eacta.php?IDENCUENTRO=131701074&EL=MERCANTIL VIGO TENIS DE MESA&EV=C.T.M. CORUÑA&IDJORNADA=100&IDNIVEL=17#acta","7","C.T.M. CORUÑA","796","2016-2017","11:00","17","4","2","14025","MERCANTIL VIGO TENIS DE MESA"
"27/11/2016","liga_eacta.php?IDENCUENTRO=131701075&EL=LICEO CASINO&EV=CLUB FERROL TM&IDJORNADA=100&IDNIVEL=17#acta","7","CLUB FERROL TM","10504","2016-2017","11:00","17","2","4","10573","LICEO CASINO"
"27/11/2016","liga_eacta.php?IDENCUENTRO=131701076&EL=CLUB DEL MAR PROMESAS&EV=MONTE PORREIRO PUB PATRIMONIO&IDJORNADA=100&IDNIVEL=17#acta","7","MONTE PORREIRO PUB PATRIMONIO","16009","2016-2017","11:00","17","5","1","1007","CLUB DEL MAR PROMESAS"
"03/12/2016","liga_eacta.php?IDENCUENTRO=131701081&EL=LICEO DE NOIA&EV=MERCANTIL VIGO TENIS DE MESA&IDJORNADA=100&IDNIVEL=17#acta","8","MERCANTIL VIGO TENIS DE MESA","14025","2016-2017","16:00","17","4","2","16010","LICEO DE NOIA"
"03/12/2016","liga_eacta.php?IDENCUENTRO=131701082&EL=CD DEZ PORTAS LUGAUTO&EV=CLUB DEL MAR PROMESAS&IDJORNADA=100&IDNIVEL=17#acta","8","CLUB DEL MAR PROMESAS","1007","2016-2017","17:00","17","2","4","16104","CD DEZ PORTAS LUGAUTO"
